title,rating
Teh Lurd Of Teh Reings,0.0
Reservoir Dogs,0.0
Underworld,0.0
Donie Darko,0.0
Kapitan Bomba - Zemsta Faraona,0.0
Lord of War,0.0
Get Thrashed,0.0
The Omen,0.0
Rings Movie,0.0
Mirrors,0.0
Zejście 2,0.0
Jackass Number Two,0.0
Mirrors,0.0
The Omen 666,0.0
The Ring,0.0
Saw,0.0
Horror movies,0.0
