title,rating
Le petit prince,7.52
Guardians of the Galaxy Vol. 2,7.52
Das Leben der Anderen,7.52
Natural Born Killers,7.51
The Fugitive,7.51
Beauty and the Beast,7.51
Red Dragon,7.51
It's a Wonderful Life,7.51
The Nightmare Before Christmas,7.51
Cast Away,7.51
The Fighter,7.5
Lion,7.5
Twelve Monkeys,7.5
Relatos salvajes,7.5
Dangerous Liaisons,7.5
Harry Potter and the Deathly Hallows: Part 1,7.5
The Theory of Everything,7.5
I Am Legend,7.5
No Country for Old Men,7.5
The Perks of Being a Wallflower,7.5
Le fabuleux destin d'Amélie Poulain,7.5
A Time to Kill,7.5
Blood Diamond,7.5
Det sjunde inseglet,7.5
Vozvrashchenie,7.49
Training Day,7.49
The Last of the Mohicans,7.49
There Will Be Blood,7.49
Per un pugno di dollari,7.49
What Dreams May Come,7.49
The Color Purple,7.49
Corpse Bride,7.49
Breaking the Waves,7.49
Das Boot,7.49
Sweeney Todd: The Demon Barber of Fleet Street,7.49
Murder in the First,7.49
Le locataire,7.49
L.A. Confidential,7.48
Lucky Number Slevin,7.48
Die Hard,7.48
La leggenda del pianista sull'oceano,7.48
Indiana Jones and the Temple of Doom,7.48
La grande bellezza,7.48
La haine,7.48
Fear and Loathing in Las Vegas,7.47
Spirit: Stallion of the Cimarron,7.47
A Dog's Purpose,7.47
Smultronstället,7.47
Thelma & Louise,7.47
Me Before You,7.47
Todo sobre mi madre,7.47
Män som hatar kvinnor,7.47
The Blues Brothers,7.47
The World's Fastest Indian,7.47
Harry Potter and the Sorcerer's Stone,7.46
Ondskan,7.46
The Fault in Our Stars,7.46
The Patriot,7.46
The Phantom of the Opera,7.46
Lethal Weapon,7.46
Harry Potter and the Half-Blood Prince,7.46
To Kill a Mockingbird,7.46
Madagascar,7.46
Lady and the Tramp,7.46
The Thin Red Line,7.46
Enemy of the State,7.45
We Were Soldiers,7.45
Enter the Dragon,7.45
Le sel de la terre,7.45
City of Angels,7.45
Now Is Good,7.45
One Day,7.45
Hable con ella,7.45
Hercules,7.44
A Walk to Remember,7.44
Felon,7.44
Who Am I - Kein System ist sicher,7.44
Anastasia,7.44
Sunset Boulevard,7.44
The Avengers,7.43
The Fast and the Furious,7.43
Le scaphandre et le papillon,7.43
Brothers,7.43
The Exorcist,7.43
"Monsters, Inc.",7.42
Chocolat,7.42
The Bone Collector,7.42
12 Years a Slave,7.42
The Last King of Scotland,7.42
Atonement,7.42
Escape from Alcatraz,7.42
Up,7.42
Les douze travaux d'Astérix,7.42
Back to the Future Part II,7.42
Walk the Line,7.41
Mulholland Dr.,7.41
As Good as It Gets,7.41
Harry Potter and the Order of the Phoenix,7.41
The Magnificent Seven,7.41
Sin City,7.41
Seven Years in Tibet,7.41
Hidden Figures,7.4
V for Vendetta,7.4
The Straight Story,7.4
Lost Highway,7.4
Touching the Void,7.4
The Basketball Diaries,7.4
Lone Survivor,7.4
This Boy's Life,7.4
Coffee and Cigarettes,7.4
Fried Green Tomatoes,7.39
Now You See Me,7.39
Fast Five,7.39
Four Rooms,7.39
The Madagascar Penguins in a Christmas Caper,7.39
The Dressmaker,7.39
Shooter,7.39
Rashômon,7.39
Treasure Planet,7.39
A Streetcar Named Desire,7.39
A Single Man,7.39
The House of the Spirits,7.39
My Name Is Khan,7.39
The Jacket,7.38
X-Men: Days of Future Past,7.38
Blowup,7.38
Vertigo,7.38
Moana,7.38
The Rock,7.38
Kung Fury,7.38
Spy Game,7.38
The Bridges of Madison County,7.38
Amour,7.38
Guardians of the Galaxy,7.38
Harry Potter and the Chamber of Secrets,7.38
The Imitation Game,7.38
The Bank Job,7.38
The Fifth Element,7.38
Sleepy Hollow,7.37
Utomlyonnye solntsem,7.37
The Passion of the Christ,7.37
The Big Lebowski,7.37
Le grand bleu,7.37
Dangerous Minds,7.37
Kill Bill: Vol. 2,7.37
